wavelength,intensity,error,region,wavelength_unit,intensity_unit
15.164552900794053,16513.39613172743,237.84032800996465,1,micron,MJy/sr
15.167012881767695,16452.39084201389,225.0824449530775,1,micron,MJy/sr
15.169472862741335,16440.287828233508,204.3624066215419,1,micron,MJy/sr
15.171932843714977,16492.966946072047,176.81899089816423,1,micron,MJy/sr
15.174392824688619,16491.42291937934,172.57997492478646,1,micron,MJy/sr
15.17685280566226,16498.168606228297,189.38839363154275,1,micron,MJy/sr
15.1793127866359,16439.707112630207,201.07019516502538,1,micron,MJy/sr
15.181772767609543,16450.551784939234,221.61527671967394,1,micron,MJy/sr
15.184232748583185,16453.432237413195,191.6126119645324,1,micron,MJy/sr
15.186692729556826,16462.052164713543,168.94700579429852,1,micron,MJy/sr
15.189152710530466,16519.452487521703,156.22062762966146,1,micron,MJy/sr
15.191612691504108,16529.415934244793,162.57718717455538,1,micron,MJy/sr
15.19407267247775,16465.032687717016,182.8345116974765,1,micron,MJy/sr
15.196532653451392,16571.105509440105,190.57107579222287,1,micron,MJy/sr
15.198992634425034,16635.903917100695,206.05630712704527,1,micron,MJy/sr
15.201452615398674,16533.043402777777,165.9199543166363,1,micron,MJy/sr
15.203912596372316,16615.423258463543,159.0167352210642,1,micron,MJy/sr
15.206372577345958,16631.451741536457,155.81262897594308,1,micron,MJy/sr
15.2088325583196,16589.563164605035,166.08456217690184,1,micron,MJy/sr
15.21129253929324,16582.414930555555,185.5675197228173,1,micron,MJy/sr
15.213752520266882,16595.748480902777,176.92109030039322,1,micron,MJy/sr
15.216212501240523,16624.159518771703,185.97167043828446,1,micron,MJy/sr
15.218672482214165,16586.705810546875,154.36476924163762,1,micron,MJy/sr
15.221132463187805,16653.834323459203,150.3308831440346,1,micron,MJy/sr
15.223592444161447,16619.904405381945,153.8026085148221,1,micron,MJy/sr
15.226052425135089,16562.126302083332,162.28724350216098,1,micron,MJy/sr
15.228512406108731,16620.388441297742,182.61947589045033,1,micron,MJy/sr
15.230972387082371,16761.262464735242,178.2865568480557,1,micron,MJy/sr
15.233432368056013,16715.24449327257,187.3517844186971,1,micron,MJy/sr
15.235892349029655,16620.608696831598,170.90982061870187,1,micron,MJy/sr
15.238352330003297,16645.436604817707,164.45504621155706,1,micron,MJy/sr
15.240812310976938,16656.018663194445,161.6874050250433,1,micron,MJy/sr
15.243272291950579,16630.063652886285,161.387256758855,1,micron,MJy/sr
15.24573227292422,16633.739027235242,178.04018866214452,1,micron,MJy/sr
15.248192253897862,16684.882988823785,174.11726603648813,1,micron,MJy/sr
15.250652234871504,16726.75530327691,189.85960063444304,1,micron,MJy/sr
15.253112215845144,16633.81068250868,166.73574255105464,1,micron,MJy/sr
15.255572196818786,16655.280788845484,166.5275530264278,1,micron,MJy/sr
15.258032177792428,16726.435546875,159.35588058954923,1,micron,MJy/sr
15.26049215876607,16726.570746527777,157.81705101808336,1,micron,MJy/sr
15.26295213973971,16719.126695421008,184.5105879937605,1,micron,MJy/sr
15.265412120713352,16771.597696940105,182.49606228471978,1,micron,MJy/sr
15.267872101686994,16827.150200737848,196.2925342468769,1,micron,MJy/sr
15.270332082660635,16746.863511827258,174.0245572140181,1,micron,MJy/sr
15.272792063634277,16834.49435763889,167.83038813457298,1,micron,MJy/sr
15.275252044607917,16904.605278862848,161.37167941360767,1,micron,MJy/sr
15.27771202558156,16849.269544813367,165.3423676529878,1,micron,MJy/sr
15.280172006555201,16813.442464192707,193.65379062549465,1,micron,MJy/sr
15.282631987528843,16857.503390842016,195.61799013378777,1,micron,MJy/sr
15.285091968502483,16875.948974609375,207.90912210770472,1,micron,MJy/sr
15.287551949476125,16802.537896050348,172.69200455060948,1,micron,MJy/sr
15.290011930449767,16894.256496853297,162.8937267665542,1,micron,MJy/sr
15.292471911423409,16956.644341362848,162.06447903422563,1,micron,MJy/sr
15.294931892397049,16888.049777560766,173.59261072689972,1,micron,MJy/sr
15.29739187337069,16820.512044270832,199.61070992790945,1,micron,MJy/sr
15.299851854344332,16894.530029296875,208.7875496698387,1,micron,MJy/sr
15.302311835317974,16898.529188368055,199.11633355052965,1,micron,MJy/sr
15.304771816291614,16834.30042860243,173.88213370703446,1,micron,MJy/sr
