filename,pixel_scale_arcsec,pixel_scale_pc,channel,band
jw01328-c1006_t014_miri_ch1-long_s3d.fits,0.12999999523162822,45.99303071967029,unknown,unknown
jw01328-c1006_t014_miri_ch1-medium_s3d.fits,0.12999999523162822,45.99303071967029,unknown,unknown
jw01328-c1006_t014_miri_ch1-short_s3d.fits,0.12999999523162822,45.99303071967029,unknown,unknown
jw01328-c1006_t014_miri_ch2-long_s3d.fits,0.17000000178813898,60.14473531829491,unknown,unknown
jw01328-c1006_t014_miri_ch2-medium_s3d.fits,0.17000000178813898,60.14473531829491,unknown,unknown
jw01328-c1006_t014_miri_ch2-short_s3d.fits,0.17000000178813898,60.14473531829491,unknown,unknown
jw01328-c1006_t014_miri_ch3-long_s3d.fits,0.2000000029802321,70.75851244928353,unknown,unknown
jw01328-c1006_t014_miri_ch3-medium_s3d.fits,0.2000000029802321,70.75851244928353,unknown,unknown
jw01328-c1006_t014_miri_ch3-short_s3d.fits,0.2000000029802321,70.75851244928353,unknown,unknown
jw01328-c1006_t014_miri_ch4-long_s3d.fits,0.34999999403953536,123.82739283230626,unknown,unknown
jw01328-c1006_t014_miri_ch4-medium_s3d.fits,0.34999999403953536,123.82739283230626,unknown,unknown
jw01328-c1006_t014_miri_ch4-short_s3d.fits,0.34999999403953536,123.82739283230626,unknown,unknown
